Date,Year,Month,Day of Week,Season,Temperature (°C),Climate Type,Humidity (%),Wind Speed (km/h),Rainfall (mm),Holiday,Population Density (people/sq.km),Industrial Activity Index,Residential-Commercial Power Ratio (%),Air Quality Index (AQI),Solar Radiation (W/m²),Power Consumption (MW)
9/3/14 2:31,2014,9,Wednesday,Monsoon,23.1,Clear,93.4,19.2,130.4,No,20453.8,93.5,72.6,474.1,520.6,4054.4
9/4/14 2:31,2014,9,Thursday,Monsoon,43.3,Cloudy,92.7,0.7,147.5,No,23467.1,53.3,81.7,316.8,634,5338.9
9/5/14 2:31,2014,9,Friday,Monsoon,35.6,Cloudy,68.4,29.4,0.5,No,11478.6,75,67.5,89.1,879.6,4874.9
9/6/14 2:31,2014,9,Saturday,Monsoon,31,Cloudy,62.2,2.9,125.6,No,26307.1,57,78.5,148,850.3,4482.8
9/7/14 2:31,2014,9,Sunday,Monsoon,15.5,Clear,64.6,25.2,117.7,No,22937.6,59.5,81.4,324.9,483.8,3327.2
9/8/14 2:31,2014,9,Monday,Monsoon,15.5,Rainy,98.3,31.7,107.4,No,13423.8,10.2,86.8,202.2,682.9,3584
9/9/14 2:31,2014,9,Tuesday,Monsoon,12,Clear,81.9,5.3,157.2,No,22614.3,0.2,70,289.5,368,3528.2
9/10/14 2:31,2014,9,Wednesday,Monsoon,40.3,Cloudy,28.5,20.7,111.2,No,21924.2,4.8,85.8,409.8,669.7,4330
9/11/14 2:31,2014,9,Thursday,Monsoon,31,Clear,82.3,31.2,171.4,No,11297.1,96.7,88.4,406.7,921.5,3894.3
9/12/14 2:31,2014,9,Friday,Monsoon,34.8,Rainy,33.6,10.4,46.5,No,15338.6,12.6,79.5,364.1,662.1,4634.4
9/13/14 2:31,2014,9,Saturday,Monsoon,10.7,Clear,55.8,6.5,161.2,No,17818.8,4.4,83.1,448.7,373.4,3157.6
9/14/14 2:31,2014,9,Sunday,Monsoon,43.9,Rainy,36.8,13.5,35.9,No,14897.8,31,72.2,139.7,679.6,5116.9
9/15/14 2:31,2014,9,Monday,Monsoon,39.1,Rainy,75.2,22.2,162.6,No,14863.2,58.8,88.6,129.8,912.5,4451.6
9/16/14 2:31,2014,9,Tuesday,Monsoon,17.4,Clear,90.2,23,188.1,No,21459,94.8,80.1,409.7,223.3,3372.8
9/17/14 2:31,2014,9,Wednesday,Monsoon,16.4,Cloudy,43.2,5.2,67.1,No,19417.2,70,69.3,194.4,534.2,3810.1
9/18/14 2:31,2014,9,Thursday,Monsoon,16.4,Rainy,26.6,18.3,106,No,23345.8,27.6,72.1,280.5,388.9,3190.6
9/19/14 2:31,2014,9,Friday,Monsoon,20.6,Clear,43.9,10.7,131.7,No,29128.1,93.9,78.5,384.8,317.3,3598.3
9/20/14 2:31,2014,9,Saturday,Monsoon,28.4,Rainy,73.8,33.7,15.9,No,23211.1,3.6,67,228.2,456.6,4403.1
9/21/14 2:31,2014,9,Sunday,Monsoon,25.1,Cloudy,46.3,12.5,98.8,Yes,21641.9,97.9,82.6,108.6,454.6,3474
9/22/14 2:31,2014,9,Monday,Monsoon,20.2,Clear,42.2,33.5,72.1,No,26951.2,5.9,66.7,355.8,289.4,3400.6
9/23/14 2:31,2014,9,Tuesday,Monsoon,31.4,Clear,34.8,17.1,174.5,No,22641.5,75.4,77.8,417.7,463.3,3703
9/24/14 2:31,2014,9,Wednesday,Monsoon,14.9,Clear,59.8,29.1,175.3,No,13311.2,4.5,80.9,55.8,670.4,2884.2
9/25/14 2:31,2014,9,Thursday,Monsoon,20.2,Cloudy,42.1,20.4,140.2,No,16295,93.2,85.8,303.1,123.2,3323.2
9/26/14 2:31,2014,9,Friday,Monsoon,22.8,Rainy,78.5,24.9,131.1,No,24667.2,10.9,82,261.2,990.3,3772.6
9/27/14 2:31,2014,9,Saturday,Monsoon,26,Clear,26.1,15.8,146.7,No,24767.6,5,84,166.8,366.3,3509.4
9/28/14 2:31,2014,9,Sunday,Monsoon,37.5,Rainy,73.1,30.7,73.2,No,29740.2,88.9,87.4,122.5,661.3,4624.7
9/29/14 2:31,2014,9,Monday,Monsoon,17,Rainy,39,17,80.9,No,22539.5,9.6,77.9,134.6,355.2,3494.8
9/30/14 2:31,2014,9,Tuesday,Monsoon,28,Cloudy,59.1,18.3,110.7,No,27990.9,79.8,85.4,376.2,454.2,4071.7
10/1/14 2:31,2014,10,Wednesday,Autumn,30.7,Clear,42.9,20.7,187.6,No,11091.6,74.7,67,291.3,594.3,3613.4
10/2/14 2:31,2014,10,Thursday,Autumn,11.6,Rainy,77.8,33.3,144.8,No,21324.4,59.9,84.4,491.5,650.7,2970
10/3/14 2:31,2014,10,Friday,Autumn,31.3,Clear,95.6,26.4,110.2,Yes,28397,37.8,66.7,159.5,793.4,3941
10/4/14 2:31,2014,10,Saturday,Autumn,16,Clear,93.4,14,154.1,No,15744.9,91.6,88,480.6,812.5,3682.3
